requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
38417,Manhattan,2025,1,11,15,30,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,15,45,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,0,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,15,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,30,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,45,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,0,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,30,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,45,17,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,0,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,30,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,45,7,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,0,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,30,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,45,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,20,0,7,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,20,15,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,20,30,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,20,45,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,21,0,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,21,15,2,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,21,30,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,21,45,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,22,0,3,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,22,15,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,22,30,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,22,45,2,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,23,0,5,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,23,15,3,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,23,30,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,23,45,3,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,0,0,5,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,0,15,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,0,30,3,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,0,45,0,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,1,0,2,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,1,15,3,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,1,30,2,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,1,45,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,2,0,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,2,15,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,2,30,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,2,45,0,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,3,0,0,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,3,15,0,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,3,30,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,3,45,1,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,4,0,0,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
