toll_date,toll_hour,toll_10_minute_block,minute_of_hour,hour_of_day,day_of_week_int,day_of_week,toll_week,time_period,vehicle_class,detection_group,detection_region,crz_entries,excluded_roadway_entries
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Manhattan Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Williamsburg Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,East 60th St,East 60th St,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,FDR Drive at 60th St,FDR Drive,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Lincoln Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queens Midtown Tunnel,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queensboro Bridge,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West 60th St,West 60th St,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West Side Highway at 60th St,West Side Highway,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Hugh L. Carey Tunnel,Brooklyn,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Manhattan Bridge,Brooklyn,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Williamsburg Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,East 60th St,East 60th St,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,FDR Drive at 60th St,FDR Drive,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Lincoln Tunnel,New Jersey,7,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Queens Midtown Tunnel,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Queensboro Bridge,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,West 60th St,West 60th St,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,West Side Highway at 60th St,West Side Highway,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Manhattan Bridge,Brooklyn,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Williamsburg Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,East 60th St,East 60th St,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,FDR Drive at 60th St,FDR Drive,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Lincoln Tunnel,New Jersey,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Queens Midtown Tunnel,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Queensboro Bridge,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,West 60th St,West 60th St,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,West Side Highway at 60th St,West Side Highway,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Brooklyn Bridge,Brooklyn,46,18
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Hugh L. Carey Tunnel,Brooklyn,3,1
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Manhattan Bridge,Brooklyn,39,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Williamsburg Bridge,Brooklyn,73,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,East 60th St,East 60th St,149,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,FDR Drive at 60th St,FDR Drive,62,35
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Holland Tunnel,New Jersey,36,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Lincoln Tunnel,New Jersey,30,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Queens Midtown Tunnel,Queens,69,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,Queensboro Bridge,Queens,28,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,West 60th St,West 60th St,78,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,TLC Taxi/FHV,West Side Highway at 60th St,West Side Highway,44,1
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Brooklyn Bridge,Brooklyn,42,74
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Hugh L. Carey Tunnel,Brooklyn,9,9
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Manhattan Bridge,Brooklyn,29,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Williamsburg Bridge,Brooklyn,53,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",East 60th St,East 60th St,123,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",FDR Drive at 60th St,FDR Drive,79,98
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Holland Tunnel,New Jersey,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Lincoln Tunnel,New Jersey,53,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Queens Midtown Tunnel,Queens,37,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Queensboro Bridge,Queens,48,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",West 60th St,West 60th St,37,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",West Side Highway at 60th St,West Side Highway,38,5
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Manhattan Bridge,Brooklyn,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Williamsburg Bridge,Brooklyn,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,East 60th St,East 60th St,8,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,FDR Drive at 60th St,FDR Drive,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Lincoln Tunnel,New Jersey,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Queens Midtown Tunnel,Queens,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Queensboro Bridge,Queens,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,West 60th St,West 60th St,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,West Side Highway at 60th St,West Side Highway,1,0
