requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
38203,Bronx,2025,3,12,18,45,161,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,19,0,103,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,19,15,72,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,19,30,63,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,19,45,66,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,20,0,58,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,20,15,65,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,20,30,49,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,20,45,46,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,21,0,40,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,21,15,44,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,21,30,37,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,21,45,39,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,22,0,52,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,22,15,31,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,22,30,33,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,22,45,29,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,23,0,36,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,23,15,38,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,23,30,31,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,23,45,25,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,0,0,22,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,0,15,14,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,0,30,12,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,0,45,16,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,1,0,13,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,1,15,13,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,1,30,7,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,1,45,9,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,2,0,4,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,2,15,7,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,2,30,7,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,2,45,9,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,3,0,4,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,3,15,6,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,3,30,10,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,3,45,7,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,4,0,8,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,4,15,15,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,4,30,16,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,4,45,19,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,5,0,15,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,5,15,16,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,5,30,22,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,5,45,39,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,6,0,46,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,6,15,51,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,6,30,51,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,6,45,42,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,7,0,67,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,7,15,70,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,7,30,83,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,13,7,45,72,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
