"RequestID","Boro","Yr","M","D","HH","MM","Vol","SegmentID","WktGeom","street","fromSt","toSt","Direction"
"39402","Manhattan","2025","11","6","19","0","135","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","19","15","118","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","19","30","99","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","19","45","101","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","20","0","95","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","20","15","104","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","20","30","101","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","20","45","80","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","21","0","71","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","21","15","101","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","21","30","87","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","21","45","56","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","22","0","42","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","22","15","36","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","22","30","24","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","22","45","29","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","23","0","33","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","23","15","28","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","23","30","20","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","6","23","45","19","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","0","0","6","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","0","15","12","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","0","30","9","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","0","45","5","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","1","0","11","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","1","15","13","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","1","30","8","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","1","45","3","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","2","0","5","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","2","15","11","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","2","30","14","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","2","45","11","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","3","0","17","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","3","15","10","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","3","30","10","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","3","45","10","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","4","0","6","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","4","15","19","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","4","30","23","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","4","45","35","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","5","0","56","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","5","15","71","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","5","30","90","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","5","45","130","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","6","0","129","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","6","15","165","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","6","30","198","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","6","45","193","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","7","0","198","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","7","15","211","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","7","30","223","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","7","45","216","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","8","0","196","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","8","15","194","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","8","30","172","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","8","45","167","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","9","0","174","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","9","15","179","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","9","30","159","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
"39402","Manhattan","2025","11","7","9","45","152","34537","POINT (988979.0266576025 225307.68665045098)","WEST 79 STREET","Henry Hudson Pkwy Nb Et 10 A","Henry Hudson Parkway Et 10 Nb","EB"
